original_column_name,column_name,column_description,data_format,value_description
customerNumber,customer number,unique id number of customer,integer,
customerName,customer name,the name when the customer registered,text,
contactLastName,contact last name,contact last name,text,
contactFirstName,contact first name,contact first name,text,
phone,,phone,text,
addressLine1,,addressLine1,text,
addressLine2,,addressLine2,text,"commonsense evidence: 
addressLine1 + addressLine2 = entire address"
city,,city,text,
state,,state,text,
postalCode,,postalCode,text,
country,,country,text,
salesRepEmployeeNumber,sales representative employee number,sales representative employee number,integer,
creditLimit,credit limit,credit limit,real,
