original_column_name,column_name,column_description,data_format,value_description
OrderID,Order ID,the unique id for orders,integer,
CustomerID,Customer ID,the unique id for customers,text,
EmployeeID,Employee ID,the unique id for employees,integer,
OrderDate,Order Date,the order date,datetime,
RequiredDate,Required Date,the required date of the order,datetime,
ShippedDate,Shipped Date,the shipped date of the order,datetime,
ShipVia,Ship Via,the shippers id,integer,
Freight,,the freight of the product,real,
ShipName,Ship Name,name of the consignee,text,
ShipAddress,Ship Address,address ships to,text,
ShipCity,Ship City,the ship city,text,
ShipRegion,Ship Region,the ship region,text,
ShipPostalCode,Ship Postal Code,the postal code,text,
ShipCountry,Ship Country,the country ,text,
ShipperID,Shipper ID,the id of the shipper,integer
