original_column_name,column_name,column_description,data_format,value_description
SupplierID,Supplier ID,the unique id for suppliers,integer,
SupplierName,Supplier Name,the supplier name,text,
ContactName,Contact Name,the contact person's name representing the company,text,
ContactTitle,Contact Title,the title of the contact person,text,
Address,,the address of the supplier,text,
City,,the city where the supplier is located,text,
Region,,the region where the supplier is located,text,
PostalCode,Postal Code,the postal code,text,
Country,,the country,text,
Phone,,the phone number,text,
Fax,,the fax number,text,
HomePage,,the home page url of the supply company,text,
